,Dorsal,Ventral,Anterior,Posterior,Cd36,High,Low,GEP 8,GEP 9,GEP 10,GEP 11 (UPR),GEP 12,GEP 13,GEP 14,GEP 15,GEP 16
Ndrg4,0.00130058686844062,0.0,0.00035015281719566433,0.0006318893483423932,2.6570303717844258e-05,0.0008700239907976538,0.0,0.0,0.0,0.0005399888288885089,0.0,0.0008562358277599231,0.0011465268580073953,0.0009096915208735058,0.003563831604216246,0.0008603533197194264
Ndufa13,0.0029118679002275777,0.001223718177963033,0.0021939461506430436,0.001638978259744326,0.0013690176500184992,0.001684443555448376,0.0013795555827249533,0.0006886844199166043,0.0017927144575693636,0.0027559711880810463,0.0009224585554413158,0.006126089194921574,0.0005253667884079848,0.0013911164272557073,0.0025910866471191853,0.0032634010074298835
Ndufb3,0.0021015468973482727,0.0019061314705298028,0.00110536455994671,0.0006724994455649139,0.0015907375449436283,0.0016474282328914481,0.0009986430499381686,0.0008487205876972425,0.003723355737638625,0.001588485577667268,0.0009711394533310455,0.003444615116161933,0.001261804760901066,0.0,0.001911211569575962,0.0
Ndufv3,0.0007727368574218667,0.00220600278511888,0.0006424064745394016,0.002847651357673911,0.0002714390123553287,0.001050927177941754,0.0018978449456113144,0.0012393776494988335,0.002939024560489496,0.0031494401053849897,0.0021345156705891125,0.005311607851303582,0.0,0.0008615254551604934,0.0038056730891817517,0.0
Neat1,0.0017673000603222891,0.0004726516545750504,0.00202280949906435,0.0,0.0013412503395988007,0.002105131236031949,0.000423729958926817,0.0,0.0008792068824018117,0.0006701589231382245,0.0,0.0,0.0014119118153106884,0.0010835321314784762,0.0009786983472912208,0.000226924690165133
Nebl,0.0,0.0014743822987633888,0.0,0.0003298688540206274,0.0,0.00016628440575716126,0.0,0.0,0.0,0.0005767741832013321,0.0,0.0,0.0002938710156114367,0.0,0.0016547921650221682,0.0
Necab1,0.0005821498721355839,0.0,0.0,0.0041030983244272744,0.00018213855577850363,0.0018687206216559682,0.0,0.0003098879517422631,0.0005397841731693934,0.0,0.0,0.0,0.0,0.0001708752014538387,0.0,0.0
Necab2,0.001176296874783451,0.0,0.0,4.835310755754623e-05,0.001187892971244892,0.0007277284477478039,4.2609751989077654e-05,0.0009697822668502542,0.0002808273591373897,0.0,0.0,0.0003642770769007973,0.0,0.0,0.0001334578027353991,0.0
Necab3,0.0,9.275888444665663e-05,0.0027346571019788725,0.0,0.0001812507657399828,0.0,0.0032192559254013557,0.0,0.0,0.002022125732030303,0.0,2.696735300109073e-05,0.0,0.0,0.001194562016193377,0.0
Nedd9,6.183698067778467e-05,0.0,1.3544115013603406e-05,0.00017207700851320192,0.00022143742909878678,0.001107741238306998,0.0,0.0015461207339057261,0.0,0.0,0.0,0.0004384681125378194,0.0004355745751578318,0.0010590106343526706,7.666545917897499e-05,0.0003033385184907967
Nell2,0.0,0.00029593047134915835,0.0,0.0015641235500188978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nenf,0.00021063539285998283,0.0005516192520876295,0.0,0.0,0.0005347998076319799,0.0013472710898091542,0.0,0.001105837959188741,0.0,0.0,0.0006500741015889675,0.0010206848084573063,0.0,0.0,0.0026323724103584373,0.0
Neu1,0.000654690148635308,0.00047615799933085017,0.0011319203509711252,0.0006174590858381891,0.0019283128387364507,0.0017298315357344646,0.0,0.00034245428115550373,0.0005881478755172256,0.00020177660296660633,0.0004583293025636078,0.001670088230176484,0.0018383184775386367,0.0,8.47883106717339e-05,0.002503492138902213
Nexn,0.0,0.0,0.0,0.0011804465166387658,0.0,0.0,3.959597476903787e-05,0.00167301466925395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nfat5,0.0011342236305773993,0.00038305211602967186,0.0007047766666664699,0.0,0.0015576857839810917,0.0015163810674652944,0.001130029568144202,0.0016892616039113613,0.0004760062386484522,6.405481564804411e-05,0.0,0.0,0.0,0.0035849297174388698,0.0009810804339490707,0.0012507205982191065
Nfatc2,0.00017868884087749722,0.0,0.0,0.0007107131248719707,0.0,0.0016906942061224628,0.0,0.0003047515513569819,0.0,0.0,0.0,0.0,0.0,0.0003473782670433278,0.0,0.0
Nfe2l2,0.000610018026183138,0.0013779843005026762,0.0006026069800853574,0.002197473432865498,0.000877696940434282,0.0013045775376153944,0.0012071848946462167,0.0025754439212711078,0.0016973605410074261,0.0012668235020462837,0.000666002360706654,0.0018196198346229625,0.006046462985842339,0.00047846088769285493,7.817966434382587e-06,0.001098173885026047
Nfia,0.00014836434188814323,0.003796809107427287,0.0005627857287134392,0.0,0.0005091132690117621,0.0,0.0,0.0,0.0,4.629815332685393e-05,0.0,0.0,0.0,2.9229866810380547e-06,0.0,0.0
Nfib,0.0,0.0059597556175906155,0.0004100883431542624,0.0,0.0006655895347734954,0.0006452583489461373,0.0,0.0,0.0008141422782205832,0.0,0.00011609529624120082,0.0,0.0003916070905064694,0.0003029238699755976,9.1263800728828e-05,0.0
Nfix,0.0,0.0044581175414059575,0.000405809350367594,0.0014159502049015788,0.00021482141804325225,0.0005701392284884794,1.9472590003986388e-05,0.0,0.003924483368949301,0.0010140047092724687,0.0003169320374942546,0.0,0.0,0.0,0.0002498840015033952,0.0
Nfxl1,0.0002658395409703185,4.2700413064635794e-05,0.0003317736798964034,0.00024894848444714844,1.1345784384899942e-05,0.001025042012435834,0.0002590103421703039,0.0,0.0002171305740867963,0.0002805771194078495,0.0,0.0,0.0,0.00024088198158341226,5.5218448332366185e-05,0.00022589162629965952
